mode,case,acceleration_straight,acceleration_straight_dash,velocity_straight,acceleration_d_straight,acceleration_d_straight_dash,velocity_d_straight,kp_wall,kp_diagonal,solver_profile
2,1,1000.0,1000.0,500.0,0.0,0.0,0.0,0.12,0.0,SOLVER_PROFILE_STANDARD
2,2,1000.0,2000.0,500.0,0.0,0.0,0.0,0.12,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
2,3,1000.0,3000.0,3000.0,0.0,0.0,0.0,0.05,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
2,4,1000.0,3000.0,4000.0,0.0,0.0,0.0,0.05,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
2,5,1000.0,3500.0,4000.0,0.0,0.0,0.0,0.05,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
2,6,1000.0,2000.0,1000.0,1000.0,2000.0,1000.0,0.05,0.2,SOLVER_PROFILE_STANDARD
2,7,1000.0,3500.0,4000.0,1000.0,3000.0,3000.0,0.05,0.05,SOLVER_PROFILE_STANDARD
2,8,1000.0,2000.0,1000.0,1000.0,2000.0,1000.0,0.05,0.2,SOLVER_PROFILE_STANDARD
2,9,1000.0,3500.0,4000.0,1000.0,3000.0,3000.0,0.05,0.05,SOLVER_PROFILE_STANDARD
3,1,4000.0,4000.0,1000.0,0.0,0.0,0.0,0.3,0.0,SOLVER_PROFILE_STANDARD
3,2,4000.0,4000.0,1000.0,0.0,0.0,0.0,0.3,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
3,3,8000.0,4000.0,2500.0,0.0,0.0,0.0,0.3,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
3,4,10000.0,4000.0,2500.0,0.0,0.0,0.0,0.3,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
3,5,12000.0,4000.0,2500.0,0.0,0.0,0.0,0.3,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
3,6,4000.0,4000.0,4000.0,4000.0,8000.0,2500.0,0.05,0.05,SOLVER_PROFILE_STRAIGHT_STRONG
3,7,4000.0,20000.0,4000.0,4000.0,8000.0,2500.0,0.05,0.05,SOLVER_PROFILE_STRAIGHT_STRONG
3,8,4000.0,10000.0,3000.0,4000.0,8000.0,2500.0,0.05,0.05,SOLVER_PROFILE_STANDARD
3,9,4000.0,14000.0,3000.0,4000.0,8000.0,2500.0,0.05,0.05,SOLVER_PROFILE_STANDARD
4,1,6000.0,6000.0,1200.0,0.0,0.0,0.0,0.4,0.0,SOLVER_PROFILE_STANDARD
4,2,6000.0,6000.0,1200.0,0.0,0.0,0.0,0.4,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
4,3,6000.0,6000.0,2500.0,0.0,0.0,0.0,0.4,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
4,4,8000.0,6000.0,2500.0,0.0,0.0,0.0,0.4,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
4,5,10000.0,6000.0,2500.0,0.0,0.0,0.0,0.4,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
4,6,7111.11,16000.0,3500.0,4000.0,8000.0,2000.0,0.05,0.05,SOLVER_PROFILE_STRAIGHT_STRONG
4,7,7111.11,18000.0,3500.0,4500.0,9000.0,2500.0,0.05,0.05,SOLVER_PROFILE_STRAIGHT_STRONG
4,8,7111.11,12000.0,2000.0,4000.0,8000.0,2000.0,0.05,0.05,SOLVER_PROFILE_STANDARD
4,9,7111.11,12000.0,3000.0,5000.0,8000.0,2000.0,0.05,0.05,SOLVER_PROFILE_STANDARD
5,1,12000.0,6000.0,1200.0,0.0,0.0,0.0,0.5,0.0,SOLVER_PROFILE_STANDARD
5,2,12000.0,6000.0,1200.0,0.0,0.0,0.0,0.5,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
5,3,12000.0,6000.0,2500.0,0.0,0.0,0.0,1.0,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
5,4,12000.0,6000.0,2500.0,0.0,0.0,0.0,1.0,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
5,5,12000.0,6000.0,2500.0,0.0,0.0,0.0,1.0,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
5,6,11111.11,28000.0,5000.0,6000.0,12000.0,3000.0,0.05,0.05,SOLVER_PROFILE_STRAIGHT_STRONG
5,7,11111.11,30000.0,5200.0,7000.0,14000.0,3500.0,0.05,0.05,SOLVER_PROFILE_STRAIGHT_STRONG
5,8,11111.11,20000.0,4000.0,6000.0,12000.0,3000.0,0.05,0.05,SOLVER_PROFILE_STANDARD
5,9,11111.11,23000.0,4500.0,7000.0,14000.0,3500.0,0.05,0.05,SOLVER_PROFILE_STANDARD
6,1,11111.11,8000.0,3000.0,0.0,0.0,0.0,0.5,0.0,SOLVER_PROFILE_STANDARD
6,2,11111.11,8000.0,3000.0,0.0,0.0,0.0,0.5,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
6,3,15000.0,8000.0,1400.0,0.0,0.0,0.0,1.0,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
6,4,11111.11,8000.0,3000.0,0.0,0.0,0.0,1.0,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
6,5,11111.11,8000.0,3000.0,0.0,0.0,0.0,1.0,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
6,6,11111.11,28000.0,5000.0,6000.0,12000.0,3000.0,0.05,0.05,SOLVER_PROFILE_STRAIGHT_STRONG
6,7,11111.11,30000.0,5200.0,7000.0,14000.0,3500.0,0.05,0.05,SOLVER_PROFILE_STRAIGHT_STRONG
6,8,11111.11,20000.0,4000.0,6000.0,12000.0,3000.0,0.05,0.05,SOLVER_PROFILE_STANDARD
6,9,11111.11,23000.0,4500.0,7000.0,14000.0,3500.0,0.05,0.05,SOLVER_PROFILE_STANDARD
7,1,14222.2,25000.0,2300.0,0.0,0.0,0.0,0.13,0.0,SOLVER_PROFILE_STANDARD
7,2,14222.2,25000.0,2300.0,0.0,0.0,0.0,0.05,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
7,3,14222.2,25000.0,4000.0,0.0,0.0,0.0,0.05,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
7,4,10888.9,26000.0,4800.0,0.0,0.0,0.0,0.05,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
7,5,10888.9,28000.0,5000.0,0.0,0.0,0.0,0.05,0.0,SOLVER_PROFILE_STRAIGHT_STRONG
